#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=RASPISHAKE,http://raspberryshake.net/
AM|R9592|52.66666667|-0.7279682532|113.0|Raspberry Shake Citizen Science Station|2019-06-30T18:44:40|2019-07-11T16:26:26
AM|R9592|52.98198198|-2.17005816|128.0|Raspberry Shake Citizen Science Station|2019-07-11T16:26:26|2019-08-06T16:54:02
AM|R9592|52.64864865|-0.6831845832|83.0|Raspberry Shake Citizen Science Station|2019-08-06T16:54:02|2019-08-07T10:12:25
AM|R9592|53.77477477|-1.570307639|46.0|Raspberry Shake Citizen Science Station|2019-08-07T10:12:25|2019-08-16T17:00:08
AM|R9592|53.77477477|-1.570307639|46.0|Raspberry Shake Citizen Science Station|2019-09-21T08:46:08|2019-09-24T17:00:11
AM|R9592|53.77477477|-1.570307639|46.0|Raspberry Shake Citizen Science Station|2019-10-04T17:15:12|2019-10-17T17:00:13
AM|R9592|53.77477477|-1.570307639|46.0|Raspberry Shake Citizen Science Station|2019-11-09T03:02:55|2019-11-11T17:00:14
AM|R9592|53.77477477|-1.570307639|46.0|Raspberry Shake Citizen Science Station|2019-11-22T10:53:02|2020-02-22T17:00:22
AM|R9592|53.77477477|-1.570307639|46.0|Raspberry Shake Citizen Science Station|2020-02-26T03:01:12|2020-03-15T17:00:25
AM|R9596|52.64864865|-0.6534584844|114.0|Raspberry Shake Citizen Science Station|2019-07-16T18:56:40|2019-07-19T17:00:08
AM|R9596|52.64864865|-0.6534584844|114.0|Raspberry Shake Citizen Science Station|2019-07-26T09:17:15|2019-07-28T17:00:13
AM|R9596|51.47747748|-0.04340227318|3.0|Raspberry Shake Citizen Science Station|2019-08-01T10:44:35|2019-08-20T17:00:10
